datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure24HourMean.productFamily,atmPressure24HourMean.qcAssessment,atmPressure24HourMean.raw,atmPressure24HourMean.reportedAccessoryId,atmPressure24HourMean.status,atmPressure24HourMean.value,bcAllSources24HourMean.productFamily,bcAllSources24HourMean.qcAssessment,bcAllSources24HourMean.raw,bcAllSources24HourMean.reportedAccessoryId,bcAllSources24HourMean.status,bcAllSources24HourMean.value,bcBiomass24HourMean.productFamily,bcBiomass24HourMean.qcAssessment,bcBiomass24HourMean.raw,bcBiomass24HourMean.reportedAccessoryId,bcBiomass24HourMean.status,bcBiomass24HourMean.value,bcFossilFuel24HourMean.productFamily,bcFossilFuel24HourMean.qcAssessment,bcFossilFuel24HourMean.raw,bcFossilFuel24HourMean.reportedAccessoryId,bcFossilFuel24HourMean.status,bcFossilFuel24HourMean.value,co2Conc24HourMean.productFamily,co2Conc24HourMean.qcAssessment,co2Conc24HourMean.raw,co2Conc24HourMean.reportedAccessoryId,co2Conc24HourMean.status,co2Conc24HourMean.value,coConc24HourMean.productFamily,coConc24HourMean.qcAssessment,coConc24HourMean.raw,coConc24HourMean.reportedAccessoryId,coConc24HourMean.status,coConc24HourMean.value,no2Conc24HourMean.productFamily,no2Conc24HourMean.qcAssessment,no2Conc24HourMean.raw,no2Conc24HourMean.reportedAccessoryId,no2Conc24HourMean.status,no2Conc24HourMean.value,noConc24HourMean.productFamily,noConc24HourMean.qcAssessment,noConc24HourMean.raw,noConc24HourMean.reportedAccessoryId,noConc24HourMean.status,noConc24HourMean.value,noxConc24HourMean.productFamily,noxConc24HourMean.qcAssessment,noxConc24HourMean.raw,noxConc24HourMean.reportedAccessoryId,noxConc24HourMean.status,noxConc24HourMean.value,o3Conc24HourMean.productFamily,o3Conc24HourMean.qcAssessment,o3Conc24HourMean.raw,o3Conc24HourMean.reportedAccessoryId,o3Conc24HourMean.status,o3Conc24HourMean.value,pm10ConcMass24HourMean.productFamily,pm10ConcMass24HourMean.qcAssessment,pm10ConcMass24HourMean.raw,pm10ConcMass24HourMean.reportedAccessoryId,pm10ConcMass24HourMean.status,pm10ConcMass24HourMean.value,pm10ConcMass24HourMeanUsEpaAqi.productFamily,pm10ConcMass24HourMeanUsEpaAqi.qcAssessment,pm10ConcMass24HourMeanUsEpaAqi.raw,pm10ConcMass24HourMeanUsEpaAqi.reportedAccessoryId,pm10ConcMass24HourMeanUsEpaAqi.status,pm10ConcMass24HourMeanUsEpaAqi.value,pm10ConcNum24HourMean.productFamily,pm10ConcNum24HourMean.qcAssessment,pm10ConcNum24HourMean.raw,pm10ConcNum24HourMean.reportedAccessoryId,pm10ConcNum24HourMean.status,pm10ConcNum24HourMean.value,pm1ConcMass24HourMean.productFamily,pm1ConcMass24HourMean.qcAssessment,pm1ConcMass24HourMean.raw,pm1ConcMass24HourMean.reportedAccessoryId,pm1ConcMass24HourMean.status,pm1ConcMass24HourMean.value,pm1ConcNum24HourMean.productFamily,pm1ConcNum24HourMean.qcAssessment,pm1ConcNum24HourMean.raw,pm1ConcNum24HourMean.reportedAccessoryId,pm1ConcNum24HourMean.status,pm1ConcNum24HourMean.value,pm2_5ConcMass24HourMean.productFamily,pm2_5ConcMass24HourMean.qcAssessment,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.reportedAccessoryId,pm2_5ConcMass24HourMean.status,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.productFamily,pm2_5ConcMass24HourMeanUsEpaAqi.qcAssessment,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.reportedAccessoryId,pm2_5ConcMass24HourMeanUsEpaAqi.status,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.productFamily,pm2_5ConcNum24HourMean.qcAssessment,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.reportedAccessoryId,pm2_5ConcNum24HourMean.status,pm2_5ConcNum24HourMean.value,relHumidAmbient24HourMean.productFamily,relHumidAmbient24HourMean.qcAssessment,relHumidAmbient24HourMean.raw,relHumidAmbient24HourMean.reportedAccessoryId,relHumidAmbient24HourMean.status,relHumidAmbient24HourMean.value,relHumidInternal24HourMean.productFamily,relHumidInternal24HourMean.qcAssessment,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.reportedAccessoryId,relHumidInternal24HourMean.status,relHumidInternal24HourMean.value,temperatureAmbient24HourMean.productFamily,temperatureAmbient24HourMean.qcAssessment,temperatureAmbient24HourMean.raw,temperatureAmbient24HourMean.reportedAccessoryId,temperatureAmbient24HourMean.status,temperatureAmbient24HourMean.value,temperatureInternal24HourMean.productFamily,temperatureInternal24HourMean.qcAssessment,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.reportedAccessoryId,temperatureInternal24HourMean.status,temperatureInternal24HourMean.value,tspConcMass24HourMean.productFamily,tspConcMass24HourMean.qcAssessment,tspConcMass24HourMean.raw,tspConcMass24HourMean.reportedAccessoryId,tspConcMass24HourMean.status,tspConcMass24HourMean.value,windDirection24HourMean.productFamily,windDirection24HourMean.qcAssessment,windDirection24HourMean.raw,windDirection24HourMean.reportedAccessoryId,windDirection24HourMean.status,windDirection24HourMean.value,windSpeed24HourMean.productFamily,windSpeed24HourMean.qcAssessment,windSpeed24HourMean.raw,windSpeed24HourMean.reportedAccessoryId,windSpeed24HourMean.status,windSpeed24HourMean.value
DEUQJ0073,R2R137TB,REFERENCE_SITE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.194401,-72.555603,,,1005,,reference-ready,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,reference-ready,4.92,,,0,,reference-ready,0,,,5.25,,reference-ready,5.25,,,31.83,,reference-ready,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,,reference-ready,4.53,,,25,,reference-ready,25,,,,,,,,,,,,,,,,,,,,,7.2,,reference-ready,7.2,,,,,,,,,,,,,,,39.82,,reference-ready,39.82,,,2.16,,reference-ready,2.16
DFVWL6197,R4HNMCVW,REFERENCE_SITE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.452299,-73.239648,,,977,,reference-ready,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21,,reference-ready,11.21,,,4.83,,reference-ready,4.83,,,16.08,,reference-ready,16.08,,,24.54,,reference-ready,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,,reference-ready,5.98,,,33,,reference-ready,33,,,,,,,,,,,,,,,,,,,,,5,,reference-ready,5,,,,,,,,,,,,,,,77.99,,reference-ready,77.99,,,1.98,,reference-ready,1.98
DUNVH1051,RFJR8LZJ,REFERENCE_SITE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.120248,-72.58499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38,,reference-ready,12.38,,,5.08,,reference-ready,5.08,,,17.42,,reference-ready,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77,,reference-ready,5.77,,,32,,reference-ready,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARSM2019,AF64TV9R,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.45179,-73.25484,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,0.77,,calibrated-ready,10.79,node,,,,,,node,,,,,,ozone,,,,,,node,valid,4.79,,calibration-missing,,node,valid,4,,calibration-missing,,node,valid,4.88,,sensor-ready,4.88,node,valid,2.03,,calibration-missing,,node,valid,4.68,,sensor-ready,4.68,node,valid,4.32,,calibrated-ready,2.98,node,valid,24,,calibrated-ready,16,node,valid,4.84,,sensor-ready,4.84,wind,,,,,,node,valid,74.42,,sensor-ready,74.42,wind,,,,,,node,valid,4.21,,sensor-ready,4.21,node,,,,,,wind,,,,,,wind,,,,,
DBGKL8516,AGK79VTM,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.46803,-73.20072,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,7.37,,calibrated-ready,8,node,,,,,,node,,,,,,ozone,,,,,,node,valid,5.76,,calibration-missing,,node,valid,5,,calibration-missing,,node,valid,4.6,,sensor-ready,4.6,node,valid,2.24,,calibration-missing,,node,valid,4.41,,sensor-ready,4.41,node,valid,5.03,,calibrated-ready,2.81,node,valid,28,,calibrated-ready,16,node,valid,4.56,,sensor-ready,4.56,wind,,,,,,node,valid,77.98,,sensor-ready,77.98,wind,,,,,,node,valid,3.43,,sensor-ready,3.43,node,,,,,,wind,,,,,,wind,,,,,
DDTAU0510,AK639KKR,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.42506,-73.22515,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,19.85,,calibrated-ready,12.4,node,,,,,,node,,,,,,ozone,,,,,,node,valid,5.49,,calibration-missing,,node,valid,5,,calibration-missing,,node,valid,3.84,,sensor-ready,3.84,node,valid,1.64,,calibration-missing,,node,valid,3.67,,sensor-ready,3.67,node,valid,2.96,,calibrated-ready,2.58,node,valid,16,,calibrated-ready,14,node,valid,3.8,,sensor-ready,3.8,wind,,,,,,node,valid,78.63,,sensor-ready,78.63,wind,,,,,,node,valid,3.68,,sensor-ready,3.68,node,,,,,,wind,,,,,,wind,,,,,
DJFKW1483,ANWQJL6T,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.42689,-73.28892,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,9.83,,calibrated-ready,9,node,,,,,,node,,,,,,ozone,,,,,,node,valid,13.25,,calibration-missing,,node,valid,12,,calibration-missing,,node,valid,6.48,,sensor-ready,6.48,node,valid,3.85,,calibration-missing,,node,valid,6.22,,sensor-ready,6.22,node,valid,5.71,,calibrated-ready,3.17,node,valid,32,,calibrated-ready,17,node,valid,6.4,,sensor-ready,6.4,wind,,,,,,node,valid,85.31,,sensor-ready,85.31,wind,,,,,,node,valid,2.55,,sensor-ready,2.55,node,,,,,,wind,,,,,,wind,,,,,
DKWAZ4010,AKR3XP4V,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.45855,-73.22086,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,8.07,,calibrated-ready,11.45,node,,,,,,node,,,,,,ozone,,,,,,node,valid,5.27,,calibration-missing,,node,valid,5,,calibration-missing,,node,valid,3.81,,sensor-ready,3.81,node,valid,1.55,,calibration-missing,,node,valid,3.63,,sensor-ready,3.63,node,valid,2.76,,calibrated-ready,2.72,node,valid,15,,calibrated-ready,15,node,valid,3.76,,sensor-ready,3.76,wind,,,,,,node,valid,72.61,,sensor-ready,72.61,wind,,,,,,node,valid,4.32,,sensor-ready,4.32,node,,,,,,wind,,,,,,wind,,,,,
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.42171656,-73.20349336,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,9.11,,calibrated-ready,11.4,node,,,,,,node,,,,,,ozone,,,,,,node,valid,4.7,,calibration-missing,,node,valid,4,,calibration-missing,,node,valid,4.32,,sensor-ready,4.32,node,valid,1.91,,calibration-missing,,node,valid,4.14,,sensor-ready,4.14,node,valid,4.23,,calibrated-ready,2.75,node,valid,23,,calibrated-ready,15,node,valid,4.28,,sensor-ready,4.28,wind,,,,,,node,valid,77.19,,sensor-ready,77.19,wind,,,,,,node,valid,3.11,,sensor-ready,3.11,node,,,,,,wind,,,,,,wind,,,,,
DMTLY7351,AXGPYFJ7,CLARITY_NODE,day,2024-04-03T00:00:00.000+00:00,2024-04-04T00:00:00.000+00:00,42.45301464,-73.26174029,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,6.51,,calibrated-ready,14.61,node,,,,,,node,,,,,,ozone,,,,,,node,valid,7.02,,calibration-missing,,node,valid,6,,calibration-missing,,node,valid,5.23,,sensor-ready,5.23,node,valid,2.66,,calibration-missing,,node,valid,5,,sensor-ready,5,node,valid,4.35,,calibrated-ready,2.97,node,valid,24,,calibrated-ready,16,node,valid,5.18,,sensor-ready,5.18,wind,,,,,,node,valid,78.88,,sensor-ready,78.88,wind,,,,,,node,valid,3.32,,sensor-ready,3.32,node,,,,,,wind,,,,,,wind,,,,,
