datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;05,2024;09;03;06,42.44963,-73.25216,valid,calibrated-ready,16.91,valid,4.32,valid,calibrated-ready,3.36
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.45179,-73.25484,valid,calibrated-ready,14.04,valid,3.51,valid,calibrated-ready,3.05
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.46803,-73.20072,valid,calibrated-ready,6.23,valid,3.01,valid,calibrated-ready,2.58
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.42506,-73.22515,valid,calibrated-ready,9.16,valid,4.03,valid,calibrated-ready,2.56
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.42689,-73.28892,valid,calibrated-ready,6.22,valid,8.69,valid,calibrated-ready,2.47
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.45855,-73.22086,valid,calibrated-ready,25.51,valid,3.63,valid,calibrated-ready,2.75
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.42171656,-73.20349336,valid,calibrated-ready,8.97,valid,3.8,valid,calibrated-ready,2.61
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.45301464,-73.26174029,valid,calibrated-ready,19.53,valid,6.26,valid,calibrated-ready,2.73
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.45658,-73.2441,valid,calibrated-ready,7.41,valid,5.87,valid,calibrated-ready,2.94
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;06,2024;09;03;07,42.44963,-73.25216,valid,calibrated-ready,15.16,valid,4.38,valid,calibrated-ready,3.29
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.45179,-73.25484,valid,calibrated-ready,13.43,valid,5.02,valid,calibrated-ready,3.35
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.46803,-73.20072,valid,calibrated-ready,4.45,valid,2.97,valid,calibrated-ready,2.7
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.42506,-73.22515,valid,calibrated-ready,10.54,valid,5.14,valid,calibrated-ready,2.55
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.42689,-73.28892,valid,calibrated-ready,5.28,valid,8.68,valid,calibrated-ready,2.42
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.45855,-73.22086,valid,calibrated-ready,24.25,valid,4.35,valid,calibrated-ready,2.86
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.42171656,-73.20349336,valid,calibrated-ready,9.78,valid,4.67,valid,calibrated-ready,2.56
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.45301464,-73.26174029,valid,calibrated-ready,18.38,valid,6.1,valid,calibrated-ready,2.76
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.45658,-73.2441,valid,calibrated-ready,10.33,valid,7.21,valid,calibrated-ready,3.09
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;07,2024;09;03;08,42.44963,-73.25216,valid,calibrated-ready,18.12,valid,6.03,valid,calibrated-ready,3.58
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.45179,-73.25484,valid,calibrated-ready,10.98,valid,3.85,valid,calibrated-ready,3.07
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.46803,-73.20072,valid,calibrated-ready,5.17,valid,3.13,valid,calibrated-ready,2.65
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.42506,-73.22515,valid,calibrated-ready,9.49,valid,3.78,valid,calibrated-ready,2.45
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.42689,-73.28892,valid,calibrated-ready,6.75,valid,8.69,valid,calibrated-ready,2.34
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.45855,-73.22086,valid,calibrated-ready,25.67,valid,4.35,valid,calibrated-ready,2.74
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.42171656,-73.20349336,valid,calibrated-ready,8.69,valid,5.35,valid,calibrated-ready,2.56
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.45301464,-73.26174029,valid,calibrated-ready,16.7,valid,5.75,valid,calibrated-ready,2.78
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.45658,-73.2441,valid,calibrated-ready,8.82,valid,7.63,valid,calibrated-ready,3.31
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;08,2024;09;03;09,42.44963,-73.25216,valid,calibrated-ready,15.41,valid,4.91,valid,calibrated-ready,3.29
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.45179,-73.25484,valid,calibrated-ready,10.07,valid,4.54,valid,calibrated-ready,3.14
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.46803,-73.20072,valid,calibrated-ready,5.84,valid,3.37,valid,calibrated-ready,2.63
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.42506,-73.22515,valid,calibrated-ready,9.12,valid,3.41,valid,calibrated-ready,2.38
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.42689,-73.28892,valid,calibrated-ready,4.88,valid,10.38,valid,calibrated-ready,2.4
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.45855,-73.22086,valid,calibrated-ready,23.4,valid,3.62,valid,calibrated-ready,2.72
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.42171656,-73.20349336,valid,calibrated-ready,8.78,valid,4.28,valid,calibrated-ready,2.57
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.45301464,-73.26174029,valid,calibrated-ready,16.5,valid,6.06,valid,calibrated-ready,2.69
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.45658,-73.2441,valid,calibrated-ready,6.23,valid,6.85,valid,calibrated-ready,3.08
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;09,2024;09;03;10,42.44963,-73.25216,valid,calibrated-ready,16.51,valid,5.7,valid,calibrated-ready,3.33
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.45179,-73.25484,valid,calibrated-ready,9.33,valid,4.77,valid,calibrated-ready,3.22
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.46803,-73.20072,valid,calibrated-ready,5.68,valid,3.98,valid,calibrated-ready,2.65
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.42506,-73.22515,valid,calibrated-ready,9.23,valid,3.77,valid,calibrated-ready,2.32
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.42689,-73.28892,valid,calibrated-ready,4.82,valid,10.92,valid,calibrated-ready,2.43
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.45855,-73.22086,valid,calibrated-ready,26.07,valid,4.64,valid,calibrated-ready,2.75
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.42171656,-73.20349336,valid,calibrated-ready,8.52,valid,5.47,valid,calibrated-ready,2.58
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.45301464,-73.26174029,valid,calibrated-ready,16.61,valid,6.66,valid,calibrated-ready,2.81
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.45658,-73.2441,valid,calibrated-ready,7.07,valid,7.74,valid,calibrated-ready,2.94
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;10,2024;09;03;11,42.44963,-73.25216,valid,calibrated-ready,14.65,valid,5.21,valid,calibrated-ready,3.07
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.45179,-73.25484,valid,calibrated-ready,10.88,valid,6.35,valid,calibrated-ready,3.5
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.46803,-73.20072,valid,calibrated-ready,6.7,valid,3.99,valid,calibrated-ready,2.71
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.42506,-73.22515,valid,calibrated-ready,11.48,valid,5.91,valid,calibrated-ready,2.51
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.42689,-73.28892,valid,calibrated-ready,11.82,valid,12.65,valid,calibrated-ready,2.79
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.45855,-73.22086,valid,calibrated-ready,27.9,valid,5.04,valid,calibrated-ready,2.88
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.42171656,-73.20349336,valid,calibrated-ready,9.78,valid,8.87,valid,calibrated-ready,3.09
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.45301464,-73.26174029,valid,calibrated-ready,19.81,valid,10.77,valid,calibrated-ready,3.32
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.45658,-73.2441,valid,calibrated-ready,7.42,valid,6.82,valid,calibrated-ready,3.05
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;11,2024;09;03;12,42.44963,-73.25216,valid,calibrated-ready,16,valid,6.76,valid,calibrated-ready,3.49
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.45179,-73.25484,valid,calibrated-ready,14.23,valid,5.24,valid,calibrated-ready,3.48
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.46803,-73.20072,valid,calibrated-ready,7.37,valid,5.17,valid,calibrated-ready,2.85
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.42506,-73.22515,valid,calibrated-ready,13.86,valid,6.68,valid,calibrated-ready,2.85
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.42689,-73.28892,valid,calibrated-ready,11.59,valid,9.18,valid,calibrated-ready,2.85
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.45855,-73.22086,valid,calibrated-ready,26.93,valid,5.63,valid,calibrated-ready,3.02
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.42171656,-73.20349336,valid,calibrated-ready,11.32,valid,11.63,valid,calibrated-ready,3.42
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.45301464,-73.26174029,valid,calibrated-ready,17.82,valid,7.81,valid,calibrated-ready,3.09
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.45658,-73.2441,valid,calibrated-ready,7.11,valid,6.4,valid,calibrated-ready,3.01
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;12,2024;09;03;13,42.44963,-73.25216,valid,calibrated-ready,16.26,valid,5.63,valid,calibrated-ready,3.3
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.45179,-73.25484,valid,calibrated-ready,21.09,valid,4.6,valid,calibrated-ready,3.43
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.46803,-73.20072,valid,calibrated-ready,10.31,valid,4.94,valid,calibrated-ready,3.02
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.42506,-73.22515,valid,calibrated-ready,8.88,valid,4.47,valid,calibrated-ready,3.06
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.42689,-73.28892,valid,calibrated-ready,9.38,valid,8.11,valid,calibrated-ready,3.04
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.45855,-73.22086,valid,calibrated-ready,10.23,valid,5.15,valid,calibrated-ready,3.17
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.42171656,-73.20349336,valid,calibrated-ready,17.39,valid,5.35,valid,calibrated-ready,3.14
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.45301464,-73.26174029,valid,calibrated-ready,8.23,valid,5.51,valid,calibrated-ready,2.97
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.45658,-73.2441,valid,calibrated-ready,6.35,valid,6.18,valid,calibrated-ready,3.2
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;13,2024;09;03;14,42.44963,-73.25216,valid,calibrated-ready,13.01,valid,5.04,valid,calibrated-ready,3.4
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.45179,-73.25484,valid,calibrated-ready,22.35,valid,3.84,valid,calibrated-ready,3.75
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.46803,-73.20072,valid,calibrated-ready,12.74,valid,4.73,valid,calibrated-ready,3.14
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.42506,-73.22515,valid,calibrated-ready,2.94,valid,4.76,valid,calibrated-ready,3.51
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.42689,-73.28892,valid,calibrated-ready,11.58,valid,8.38,valid,calibrated-ready,3.31
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.45855,-73.22086,valid,calibrated-ready,0,valid,5.18,valid,calibrated-ready,3.36
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.42171656,-73.20349336,valid,calibrated-ready,26.08,valid,5.29,valid,calibrated-ready,3.44
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.45301464,-73.26174029,valid,calibrated-ready,0,valid,5.67,valid,calibrated-ready,3.2
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.45658,-73.2441,valid,calibrated-ready,5.38,valid,5.28,valid,calibrated-ready,3.43
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;14,2024;09;03;15,42.44963,-73.25216,valid,calibrated-ready,5.89,valid,4.62,valid,calibrated-ready,3.66
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.45179,-73.25484,valid,calibrated-ready,24.02,valid,11.34,valid,calibrated-ready,7.3
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.46803,-73.20072,valid,calibrated-ready,15.24,valid,3.91,valid,calibrated-ready,3.38
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.42506,-73.22515,valid,calibrated-ready,4.64,valid,3.99,valid,calibrated-ready,3.51
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.42689,-73.28892,valid,calibrated-ready,19.21,valid,6.76,valid,calibrated-ready,3.1
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.45855,-73.22086,valid,calibrated-ready,0,valid,4.5,valid,calibrated-ready,3.59
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.42171656,-73.20349336,valid,calibrated-ready,25.19,valid,3.92,valid,calibrated-ready,3.68
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.45301464,-73.26174029,valid,calibrated-ready,0,valid,5.4,valid,calibrated-ready,3.45
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.45658,-73.2441,valid,calibrated-ready,4.06,valid,4.31,valid,calibrated-ready,3.61
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;15,2024;09;03;16,42.44963,-73.25216,valid,calibrated-ready,0.77,valid,3.56,valid,calibrated-ready,3.74
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.45179,-73.25484,valid,calibrated-ready,25.72,valid,2.28,valid,calibrated-ready,3.68
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.46803,-73.20072,valid,calibrated-ready,15.15,valid,2.88,valid,calibrated-ready,3.5
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.42506,-73.22515,valid,calibrated-ready,5.43,valid,3.16,valid,calibrated-ready,3.55
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.42689,-73.28892,valid,calibrated-ready,25.31,valid,6.25,valid,calibrated-ready,3.24
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.45855,-73.22086,valid,calibrated-ready,0,valid,3.29,valid,calibrated-ready,3.69
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.42171656,-73.20349336,valid,calibrated-ready,24.35,valid,2.7,valid,calibrated-ready,3.64
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.45301464,-73.26174029,valid,calibrated-ready,0,valid,4.21,valid,calibrated-ready,3.37
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.45658,-73.2441,valid,calibrated-ready,10.57,valid,3.44,valid,calibrated-ready,3.64
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;16,2024;09;03;17,42.44963,-73.25216,valid,calibrated-ready,1.58,valid,3.62,valid,calibrated-ready,3.7
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.45179,-73.25484,valid,calibrated-ready,27.31,valid,2.41,valid,calibrated-ready,3.84
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.46803,-73.20072,valid,calibrated-ready,17.88,valid,2.09,valid,calibrated-ready,3.53
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.42506,-73.22515,valid,calibrated-ready,14.4,valid,2.71,valid,calibrated-ready,3.5
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.42689,-73.28892,valid,calibrated-ready,30.61,valid,4.74,valid,calibrated-ready,3.22
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.45855,-73.22086,valid,calibrated-ready,0,valid,2.35,valid,calibrated-ready,3.59
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.42171656,-73.20349336,valid,calibrated-ready,27.96,valid,2.06,valid,calibrated-ready,3.7
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.45301464,-73.26174029,valid,calibrated-ready,0.66,valid,3.53,valid,calibrated-ready,3.44
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.45658,-73.2441,valid,calibrated-ready,6.98,valid,3.62,valid,calibrated-ready,3.72
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;17,2024;09;03;18,42.44963,-73.25216,valid,calibrated-ready,5.51,valid,3.71,valid,calibrated-ready,3.8
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.45179,-73.25484,valid,calibrated-ready,26.03,valid,2.23,valid,calibrated-ready,3.82
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.46803,-73.20072,valid,calibrated-ready,19.24,valid,1.88,valid,calibrated-ready,3.6
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.42506,-73.22515,valid,calibrated-ready,18.16,valid,2.93,valid,calibrated-ready,3.78
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.42689,-73.28892,valid,calibrated-ready,31.07,valid,5.53,valid,calibrated-ready,3.33
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.45855,-73.22086,valid,calibrated-ready,0,valid,2.29,valid,calibrated-ready,3.74
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.42171656,-73.20349336,valid,calibrated-ready,32.4,valid,1.98,valid,calibrated-ready,3.67
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.45301464,-73.26174029,valid,calibrated-ready,4.53,valid,3.79,valid,calibrated-ready,3.41
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.45658,-73.2441,valid,calibrated-ready,12.43,valid,3.6,valid,calibrated-ready,3.78
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;18,2024;09;03;19,42.44963,-73.25216,valid,calibrated-ready,5.48,valid,3.9,valid,calibrated-ready,3.88
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.45179,-73.25484,valid,calibrated-ready,28.67,valid,2.61,valid,calibrated-ready,3.95
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.46803,-73.20072,valid,calibrated-ready,22.24,valid,2.49,valid,calibrated-ready,3.81
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.42506,-73.22515,valid,calibrated-ready,20.52,valid,3.01,valid,calibrated-ready,3.77
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.42689,-73.28892,valid,calibrated-ready,32.59,valid,5.19,valid,calibrated-ready,3.41
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.45855,-73.22086,valid,calibrated-ready,0,valid,2.54,valid,calibrated-ready,3.74
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.42171656,-73.20349336,valid,calibrated-ready,40.07,valid,2.37,valid,calibrated-ready,3.78
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.45301464,-73.26174029,valid,calibrated-ready,4.83,valid,3.98,valid,calibrated-ready,3.57
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.45658,-73.2441,valid,calibrated-ready,15.32,valid,3.44,valid,calibrated-ready,3.84
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;19,2024;09;03;20,42.44963,-73.25216,valid,calibrated-ready,7.27,valid,3.06,valid,calibrated-ready,3.77
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.45179,-73.25484,valid,calibrated-ready,28.12,valid,3.55,valid,calibrated-ready,4.22
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.46803,-73.20072,valid,calibrated-ready,23.56,valid,2.38,valid,calibrated-ready,3.82
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.42506,-73.22515,valid,calibrated-ready,14.73,valid,3.38,valid,calibrated-ready,3.93
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.42689,-73.28892,valid,calibrated-ready,28.73,valid,6.88,valid,calibrated-ready,3.65
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.45855,-73.22086,valid,calibrated-ready,0,valid,2.81,valid,calibrated-ready,3.89
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.42171656,-73.20349336,valid,calibrated-ready,36.05,valid,2.68,valid,calibrated-ready,3.91
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.45301464,-73.26174029,valid,calibrated-ready,5.51,valid,4.38,valid,calibrated-ready,3.57
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.45658,-73.2441,valid,calibrated-ready,14.3,valid,4.27,valid,calibrated-ready,3.97
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;20,2024;09;03;21,42.44963,-73.25216,valid,calibrated-ready,9.05,valid,4.45,valid,calibrated-ready,4.09
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.45179,-73.25484,valid,calibrated-ready,27.01,valid,3.13,valid,calibrated-ready,4.13
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.46803,-73.20072,valid,calibrated-ready,24.94,valid,3.41,valid,calibrated-ready,4.08
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.42506,-73.22515,valid,calibrated-ready,13.53,valid,3.44,valid,calibrated-ready,3.84
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.42689,-73.28892,valid,calibrated-ready,26.29,valid,7.23,valid,calibrated-ready,3.81
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.45855,-73.22086,valid,calibrated-ready,5.7,valid,3.1,valid,calibrated-ready,3.88
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.42171656,-73.20349336,valid,calibrated-ready,35.19,valid,2.86,valid,calibrated-ready,3.95
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.45301464,-73.26174029,valid,calibrated-ready,5.77,valid,4.41,valid,calibrated-ready,3.66
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.45658,-73.2441,valid,calibrated-ready,10.72,valid,4.19,valid,calibrated-ready,4.04
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;09;03;21,2024;09;03;22,42.44963,-73.25216,valid,calibrated-ready,10.8,valid,4.73,valid,calibrated-ready,4.19
DARSM2019,AF64TV9R,CLARITY_NODE,2024;09;03;22,2024;09;03;23,42.45179,-73.25484,valid,calibrated-ready,26.39,valid,3.46,valid,calibrated-ready,4.24
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;09;03;22,2024;09;03;23,42.46803,-73.20072,valid,calibrated-ready,24.26,valid,3.33,valid,calibrated-ready,4.02
DDTAU0510,AK639KKR,CLARITY_NODE,2024;09;03;22,2024;09;03;23,42.42506,-73.22515,valid,calibrated-ready,19.61,valid,4.21,valid,calibrated-ready,3.65
