datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.46803,-73.20072,valid,calibrated-ready,16.22,valid,9.95,valid,calibrated-ready,3.67
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.42506,-73.22515,valid,calibrated-ready,17.96,valid,15.4,valid,calibrated-ready,3.46
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.42689,-73.28892,valid,calibrated-ready,19.13,valid,18.22,valid,calibrated-ready,3.33
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.45855,-73.22086,valid,calibrated-ready,20.85,valid,8.12,valid,calibrated-ready,3.16
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.42171656,-73.20349336,valid,calibrated-ready,18.68,valid,7.39,valid,calibrated-ready,2.93
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.45301464,-73.26174029,valid,calibrated-ready,29.3,valid,19.65,valid,calibrated-ready,4.33
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.45658,-73.2441,valid,calibrated-ready,21.61,valid,12.92,valid,calibrated-ready,3.79
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;08,2024;04;01;09,42.44963,-73.25216,valid,calibrated-ready,27.67,valid,15.14,valid,calibrated-ready,4.76
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.45179,-73.25484,valid,calibrated-ready,18.67,valid,9.89,valid,calibrated-ready,4.13
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.46803,-73.20072,valid,calibrated-ready,17.03,valid,10.67,valid,calibrated-ready,3.6
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.42506,-73.22515,valid,calibrated-ready,18.02,valid,22.94,valid,calibrated-ready,4.25
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.42689,-73.28892,valid,calibrated-ready,17.53,valid,15.6,valid,calibrated-ready,2.99
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.45855,-73.22086,valid,calibrated-ready,24.68,valid,9.42,valid,calibrated-ready,3.61
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.42171656,-73.20349336,valid,calibrated-ready,20.4,valid,8.65,valid,calibrated-ready,3.07
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;09,2024;04;01;10,42.45301464,-73.26174029,valid,calibrated-ready,30.39,valid,15.42,valid,calibrated-ready,3.86
